doctrine	definition	story
Maxwellisation	"Maxwellisation is the legal practice in English and Scots law that allows anyone who is criticised in an official report to respond prior to publication, based on details of the criticism received in advance.
The process takes its name from the publisher Robert Maxwell. In 1969, Maxwell was criticised in a report by the Department of Trade and Industry (DTI) as ""unfit to hold the stewardship of a public company"". Maxwell took the matter to court, where the DTI was said by the judge to have ""virtually committed the business murder"" of Maxwell. To avoid any repeat following the ruling, official policy was altered to ensure that prior notice would be given of critical findings. Relevant witnesses are shown the specific extracts of reports relating to them."	"Professor Thompson, a well-respected expert in her field, was invited to review a report on a major medical breakthrough by the National Institute of Health. As she delved into the document, she noticed that the report criticized her publicly-funded research project, stating that her team's findings were inconclusive and lacked sufficient evidence.

Feeling blindsided and concerned about the potential impact on her career, Professor Thompson sought legal advice. Her lawyer explained that she was entitled to exercise her right to Maxwellisation. This meant that she would receive advance notice of the criticisms in the report, allowing her to respond and provide a rebuttal before publication.

With this opportunity, Professor Thompson was able to review the specific extracts of the report that related to her team's research. She carefully crafted a response, addressing each criticism and providing evidence to support her claims. The National Institute of Health took her concerns seriously and incorporated her feedback into the final report.

When the report was published, Professor Thompson felt vindicated and relieved. The criticisms had been substantiated, but she was grateful for the chance to defend her work and reputation. The Maxwellisation process allowed her to clear her name and maintain her professional integrity. This legal concept gave her the power to address the criticisms head-on, ensuring that her reputation was protected and her contributions to the field were accurately recognized."
Medical necessity	"Medical necessity is a legal doctrine in the United States related to activities that may be justified as reasonable, necessary, and/or appropriate based on evidence-based clinical standards of care. In contrast, unnecessary health care lacks such justification.
Other countries may have medical doctrines or legal rules covering broadly similar grounds. The term clinical medical necessity is also used."	"Dr. Patel's patient, 42-year-old Sarah, was diagnosed with stage III breast cancer. The tumor had spread to her lymph nodes, and her oncologist recommended a mastectomy to increase her chances of survival. Sarah was devastated, but she understood the importance of the procedure.

As she was preparing for the surgery, her insurer told her that they wouldn't cover the mastectomy because it wasn't ""medically necessary"" according to their definition. The insurer claimed that Sarah's cancer wasn't advanced enough to warrant such an invasive procedure, and that alternative treatments would be sufficient.

Dr. Patel was shocked and consulted with Sarah's medical team. They explained that while alternative treatments like chemotherapy and radiation could help slow the cancer's growth, a mastectomy was still the most effective way to treat Sarah's specific condition. The tumor's location and size necessitated the removal of the affected breast to prevent the cancer from spreading and to improve Sarah's overall prognosis.

Dr. Patel and the medical team documented the medically necessary treatment plan, citing evidence-based guidelines and peer-reviewed research to support their decision. The insurer eventually relented, recognizing the medical necessity of the mastectomy. Sarah underwent the surgery and went on to make a full recovery.

This scenario illustrates the concept of medical necessity, where evidence-based clinical standards of care justify a particular treatment or procedure as necessary to achieve the best possible outcome for a patient's specific condition."
Meeting of the minds	"Meeting of the minds (also referred to as mutual agreement, mutual assent, or consensus ad idem) is a phrase in contract law used to describe the intentions of the parties forming the contract. In particular, it refers to the situation where there is a common understanding in the formation of the contract. Formation of a contract is initiated with a proposal or offer. This condition or element is considered a requirement to the formation of a contract in some jurisdictions.

"	"It's a crisp autumn morning when Emma, a freelance graphic designer, meets with Jack, the owner of a small business, to discuss designing a new logo for his company. Jack explains his vision - a modern, bold design that will stand out in the industry. Emma listens carefully and asks clarifying questions to ensure she understands his expectations.

Over a cup of coffee, Emma presents a few concept designs to Jack, and he provides feedback. Emma takes notes and asks if Jack wants to explore any changes. Jack nods, indicating he likes the direction they're heading. Emma asks if she should proceed with the designs. Jack gives her the thumbs-up, saying, ""You're close, go ahead and finalize the design.""

This scenario illustrates the concept of ""meeting of the minds."" Emma and Jack have reached a mutual understanding about the project scope, expectations, and intentions. They've communicated effectively, and their shared understanding has led to a common agreement on the design project.

Their conversation is key to this ""meeting of the minds."" Emma's initial proposal, followed by Jack's feedback and Emma's revisions, created a collaborative process. As they exchanged ideas, their understanding of each other's intentions grew, ultimately resulting in a shared goal: a new logo for Jack's company that meets his desired design.

In this case, the ""meeting of the minds"" forms the foundation of a valid contract between Emma and Jack. Their mutual agreement and common understanding will serve as the benchmark for the design project's success."
Merger doctrine (civil procedure)	"The merger doctrine in civil procedure stands for the proposition that when litigants agree to a settlement, and then seek to have their settlement incorporated into a court order, the court order actually extinguishes the settlement and replaces it with the authority of the court to supervise the behavior of the parties. Under this doctrine, the court is free to modify its order as necessary to achieve justice in the case, and may hold a party that breaches the agreement in contempt of court.
In U.S criminal law, merger doctrine holds that if a defendant has committed acts that simultaneously meet the elements of a more serious and less serious offense, the defendant may be charged with the more serious offense and the lesser offense drops in order to avoid implicating double jeopardy."	"Meet Sarah, a ambitious entrepreneur who co-founded a successful tech startup with her business partner, Alex. As the company grew, the partnership agreement began to fray, and the two rivals found themselves locked in a bitter dispute over ownership and control. Litigation ensued, and after months of tense negotiations, Sarah and Alex finally agreed on a settlement: Sarah would purchase Alex's shares and assume full ownership of the company.

Their lawyers drafted a settlement agreement, which both parties signed and submitted to the court for approval. The judge read the agreement, nodded in satisfaction, and ordered the settlement as part of the final decree. But then, something unexpected happened. Alex began to withhold crucial company documents, citing the settlement as grounds for his refusal. Sarah sought court intervention, claiming he was violating the settlement.

This is where the merger doctrine comes in. The judge now views the settlement as merely a proposal that has merged with the court's order. The court can modify the order to ensure justice in the case, and it sees Alex's breach as a violation of the court's order. The judge thus held Alex in contempt, requiring him to produce the documents and pay fines until he complied.

In this scenario, the merger doctrine ensures that the court retains control over the parties' actions, even after a settlement is agreed upon."
Merger doctrine (copyright law)	"The idea–expression distinction or idea–expression dichotomy is a legal doctrine in the United States that limits the scope of copyright protection by differentiating an idea from the expression or manifestation of that idea.
Unlike patents, which may confer proprietary rights in relation to general ideas and concepts per se when construed as methods, copyrights cannot confer such rights.  An adventure novel provides an illustration of the concept. Copyright may subsist in the work as a whole, in the particular story or characters involved, or in any artwork contained in the book, but generally not in the idea or genre of the story. Copyright, therefore, may not subsist in the idea of a man venturing out on a quest, but may subsist in a particular story that follows that pattern. Similarly, if the methods or processes described in a work are patentable, they may be the subject of various patent claims, which may or may not be broad enough to cover other methods or processes based on the same idea. Arthur C. Clarke, for example, sufficiently described the concept of a communications satellite (a geostationary satellite used as a telecommunications relay) in a 1945 paper that was not considered patentable in 1954 when it was developed at Bell Labs."	"Here's a story that illustrates the concept of the Merger doctrine:

Emily had always been passionate about science fiction and wrote her own novels on the side. She finally finished her magnum opus, an epic space adventure about a group of rebels fighting against an evil alien empire. The story included unique space ships, alien species, and intergalactic battles.

Meanwhile, NASA was developing a real-life spacecraft designed specifically for intergalactic travel. The beauty of the spacecraft's design and functionality was all over social media, and Emily was inspired by it. She decided to incorporate similar elements into her novel, including the spacecraft's design and functionality.

As Emily's novel gained popularity, a producer took notice and wanted to adapt it into a movie. However, NASA warned the producer that they had already patented several of the technology ideas featured in the story, including the spacecraft design.

The court ruled in favor of NASA, stating that the idea of a spacecraft designed for intergalactic travel was not protectable by copyright. However, the specific design and functionality of the spacecraft in Emily's novel were protectable, as they were not the same as the patented technology.

In this scenario, the court applied the Merger doctrine, separating the idea of a spacecraft from the expression of that idea. The idea itself was not eligible for copyright protection, but the original expression in Emily's novel was protected. This concept illustrates that copyright law protects the specific expression of an idea, not the idea itself.

From a legal perspective, this scenario demonstrates how the Merger doctrine works in practice."
Merger doctrine (family law)	"Historically, the merger doctrine (a.k.a. ""doctrine of merger"") was the notion that marriage caused a woman's legal identity to merge with that of her husband.
Thus, a woman could not sue or testify against her husband any more than he could sue or testify against himself. Since her identity had merged with his, the two were now considered one legal entity."	"As they exchanged vows, Sarah and Alex's friends and family rejoiced at the union of the ambitious entrepreneur and the free-spirited artist. But little did they know, Sarah was about to lose her independence - legally speaking.

Sarah's best friend, Rachel, needed her help with a project, but Sarah was about to embark on a new business venture with Alex. Rachel asked Sarah to sign a contract on her behalf, but Sarah hesitated. Alex overheard the conversation and interjected, ""Why don't we just deal with Rachel together? After all, we're one now.""

Sarah was puzzled. Hadn't she always been her own person? Didn't she have her own thoughts, feelings, and opinions? Alex assured her it was for the best, that marriage meant they were now one unit. Sarah began to feel uneasy, but she didn't want to rock the boat.

As the months passed, Sarah found herself struggling to make decisions on her own. Alex would handle the finances, and she was expected to follow suit. Rachel asked her to sign a new contract, but when Sarah tried to take sole responsibility, Alex intervened, saying it would be better if they signed together. Sarah realized that her identity had, indeed, merged with Alex's. She was now one with him, and their individual rights and freedoms had been extinguished. This merger doctrine, steeped in history, had rendered Sarah a mere extension of Alex, leaving her wondering if she had lost her voice in the process."
Merger doctrine (property law)	"In the law of real property, the merger doctrine stands for the proposition that the contract for the conveyance of property merges into the deed of conveyance; therefore, any guarantees made in the contract that are not reflected in the deed are extinguished when the deed is conveyed to the buyer of the property.

"	"Here's a story illustrating the merger doctrine:

**The Deal on Elm Street**

Lena, a first-time homebuyer, negotiated a contract with the owner of a charming old house on Elm Street to purchase the property for $250,000. As part of the contract, the seller, James, agreed to fix a leaky roof within three months of the sale date ""to ensure the buyer's safety."" However, the contract didn't explicitly state this promise in writing.

A month later, Lena and James settled on a purchase price, and the deed was drafted and signed. In the deed, it was explicitly stated that James was conveying the property in ""as-is"" condition, with no guarantees or warranties. Lena moved into the house a few weeks later, but when a strong storm hit, the roof leak turned into a flood. The water damaged the walls, ceiling, and furniture.

Lena realized that there was no mention of the roof repair in the deed, unlike in their original contract. At this point, it became clear that the contractual promise had been extinguished. Since the deed was the official document that transferred ownership, any promises not included in the deed, like the promise to fix the roof, were no longer considered binding.

Disappointed, Lena had to hire a contractor to repair the damages at her own expense. This was the effect of the merger doctrine – any obligations not written into the deed, in this case the promise to fix the roof, were effectively washed away, leaving Lena with the financial burden of repairing the property."
Merger doctrine (trust law)	"In trust law the term ""doctrine of merger"" refers to the fusing of legal and equitable title in the event the same person becomes both the sole trustee and the sole beneficiary of a trust. In such a case, the trust is sometimes deemed to have terminated (with the result that the beneficiary owns the trust property outright)."	"Emily valued her weekly art classes at the community center above all else. When she and her aunt, Margaret, created a trust to benefit Emily's art education, Emily was thrilled. Margaret became the trustee and appointed herself as the sole beneficiary of the trust. The trust was funded with a generous gift from their family's estate, allowing Emily to pursue her passion for painting without worrying about tuition costs.

As Emily's artistic talents flourished, Margaret continued to manage the trust, using its assets to cover Emily's art supplies, classes, and travel opportunities to study abroad. However, at some point, Margaret realized she was getting older and decided to take on one final artistic project. She chose to return to college, enrolling in art classes at the same community center where Emily had her own lessons. Margaret housed her new art supplies, acting as the sole trustee managing the two art supplies equipment and materials.

Since Margaret was both the sole trustee and sole beneficiary, the trust law concept of merger applies. In essence, all the assets of the trust now belong to Margaret, and the separation between legal and equitable title to the property is no longer favorable, so the trust of itself becomes transformed. Once Margaret's personal assets and trust's are finally dissolved as separate pools of assets, Margaret has full ownership and control of all assets in her name."
Mirror image rule	In the law of contracts, the mirror image rule, also referred to as an unequivocal and absolute acceptance requirement, states that an offer must be accepted exactly with no modifications. The offeror is the master of his own offer. An attempt to accept the offer on different terms instead creates a counter-offer, and this constitutes a rejection of the original offer.	"Meet Sarah, a talented graphic designer, and Michael, a startup entrepreneur. Sarah and Michael had been chatting online for weeks about a potential project. Sarah had sent Michael a proposal outlining the scope of work, timeline, and payment terms. Michael was thrilled with the proposal and wanted to work with Sarah.

Here's what happened next: Michael sent Sarah an email saying, ""I love your proposal! Let's work together, but I want to add one more thing: I'll need you to design a logo for my company in addition to the original scope of work."" Sarah, excited about the project, replied, ""That sounds great! Yes, I can definitely add the logo design to our agreement. I'll send an updated proposal with the details.""

From a legal perspective, Michael's initial email was an attempt to accept Sarah's proposal with a modification (the logo design). This didn't qualify as an acceptance of the original offer. Instead, it created a counter-offer, which effectively rejected Sarah's original proposal. Sarah's response, even though she was willing to accommodate Michael's request, was actually an acceptance of his counter-offer, not the original proposal.

This scenario illustrates the mirror image rule. The rule states that an offer must be accepted exactly, without any modifications. Since Michael's initial email was not an acceptance of the original proposal, it didn't constitute a binding contract. The story underscores the importance of precise and unambiguous communication in contractual negotiations to avoid misunderstandings and ensure a smooth agreement."
Mistake (contract law)	"In contract law, a mistake is an erroneous belief, at contracting, that certain facts are true.  It can be argued as a defense, and if raised successfully, can lead to the agreement in question being found void ab initio or voidable, or alternatively, an equitable remedy may be provided by the courts. Common law has identified three different types of mistake in contract: the 'unilateral mistake', the 'mutual mistake', and the 'common mistake'.  The distinction between the 'common mistake' and the 'mutual mistake' is important.
Another breakdown in contract law divides mistakes into four traditional categories: unilateral mistake, mutual mistake, mistranscription, and misunderstanding.
The law of mistake in any given contract is governed by the law governing the contract.  The law from country to country can differ significantly. For instance, contracts entered into under a relevant mistake have not been voidable in English law since Great Peace Shipping Ltd v Tsavliris (International) Ltd (2002).

"	"Meet Sarah, a freelance graphic designer, who was excited to take on a new project with a prestigious ad agency. The agency's Art Director, John, contacted her with a brief for a logo design for their new client, a high-end jewelry store. Sarah accepted the project, assuming that the jewelry store was a well-established player in the market.

However, upon further research, Sarah discovered that the jewelry store was actually a small startup with no significant online presence. She felt duped and considered withdrawing from the project. John, however, convinced her to proceed, assuring her that the jewelry store's reputation would only grow in the future.

As it turned out, the jewelry store went bankrupt soon after. Sarah's design was never used, and she never earned a dime. She argued in court that John's mistake about the jewelry store's reputation led to the voidable contract, and therefore, she should not be liable for the breach.

In this scenario, the mistake refers to John's misconception about the jewelry store's reputation, which was not true. As a unilateral mistake, John's error was not shared by Sarah, who believed the accurate information. The court may rule in Sarah's favor, declaring the contract voidable due to the mistaken assumption.

This relatable story illustrates the concept of mistake in contract law, highlighting the difference between mutual and unilateral mistakes, as well as the importance of understanding the concept in a specific legal context."
Mootness	"The terms moot, mootness and moot point are used both in English and in American law, although with significantly different meanings.
In the legal system of the United States, a matter is ""moot"" if further legal proceedings with regard to it can have no effect, or events have placed it beyond the reach of the law. Thereby the matter has been deprived of practical significance or rendered purely academic.
The U.S. development of this word stems from the practice of moot courts, in which hypothetical or fictional cases were argued as a part of legal education. These purely academic settings led the U.S. courts to describe cases where developing circumstances made any judgment ineffective as ""moot"".
The mootness doctrine can be compared to the ripeness doctrine, another court rule (rather than law), that holds that judges should not rule on cases based entirely on anticipated disputes or hypothetical facts. These rules and similar doctrines, taken together, prevent the federal courts of the United States from issuing advisory opinions, as required by the Case or Controversy Clause of the United States Constitution.
The usage in the British legal system, on the other hand, is that the term ""moot"" has the meaning of ""remains open to debate"" or ""remains unresolved"". The divergence in usage was first observed in the United States, and the extent to which the U.S. definition is used in U.S. jurisprudence and public discourse has ensured it is rarely used in a British courtroom. This is partially to avoid ambiguity, but also because the British definition is rarely relevant in practical cases."	"Emily had been suing her former employer for wrongful termination, alleging that she was fired due to her disabilities. The case was making its way through the court system, with both sides presenting evidence and arguments. However, as the trial approached, Emily's employer suddenly offered her a new job within the company, with full pay and benefits, and a guarantee that she would no longer be subjected to the same hostile environment that had led to her termination.

Emily was thrilled with the offer and accepted it. The judge, in reviewing the case, noted that the situation had changed dramatically since the lawsuit was filed. Emily was now gainfully employed and satisfied with her working conditions. In light of this new reality, the judge declared the case ""moot.""

The judge ruled that the case no longer had any practical significance or effect, as Emily was now employed and her rights were being protected by her new job. Further legal proceedings would serve no purpose since the dispute was no longer relevant. The judge dismissed the case, citing that it was now moot.

In this scenario, the court determined that the case was meaningless and lacked practical significance, given the change in circumstances. The effort and money spent on the lawsuit were essentially wasted, as the case could no longer be resolved in a way that would change Emily's situation. The concept of mootness highlights the importance of ensuring that court cases remain relevant and focused on current, real-world issues, rather than hypothetical or hypothetical disputes."
Moral certainty	Moral certainty is a concept of intuitive probability. It means a very high degree of probability, sufficient for action, but short of absolute or mathematical certainty.	"Here's a story that hopefully illustrates the concept of moral certainty:

Samantha, a software engineer, had been working on a new project for three months. She and her team had been under a tight deadline to deliver the finished product to their biggest client, a leading tech company. On the last day of work before the deadline, Samantha's boss received an email claiming that a rival company, TechX, had stolen the project's intellectual property.

Samantha's boss reviewed the evidence, including cryptic messages on an encrypted chat forum, suspicious meetings between TechX representatives and former engineers from their company, and suspicious IP addresses tracked on their internal servers. Although there was no concrete proof, it was clear that something fishy was going on.

Given the circumstances, Samantha's boss knew they had to act swiftly to protect their client's interests. They decided to send an official notice to TechX, requesting they cease and desist from using their intellectual property. Although the evidence didn't rise to the level of absolute certainty, there was a high degree of moral certainty that TechX had indeed stolen the intellectual property. Samantha's boss acted on that intuition, knowing that the consequences of delaying action would be severe.

In this scenario, Samantha's boss may not have had absolute or mathematical certainty that TechX stole the intellectual property, but they had a strong moral certainty that it was likely true. This intuition guided their decision to take action, illustrating how moral certainty is often the currency of decision-making in real-life legal and professional contexts."
Mosaic theory (US law)	"The mosaic theory is a legal doctrine in American courts for considering issues of information collection, government transparency, and search and seizure, especially in cases involving invasive or large-scale data collection by government entities. The theory takes its name from mosaic tile art: while an entire picture can be seen from a mosaic's tiles at a distance, no clear picture emerges from viewing a single tile in isolation. The mosaic theory calls for a cumulative understanding of data collection by law enforcement and analyzes searches ""as a collective sequence of steps rather than individual steps."" 
Although the doctrine was first used in cases about national security, five justices of the US Supreme Court authored concurring opinions supporting a new Fourth Amendment framework for judging whether or not an individual has been subjected to an unlawful search, in United States v. Jones (2012). Under this framework, the US government's actions should be considered collectively rather than independently for determining whether or not the acts constitute a search under the Fourth Amendment. It requires that police action is considered ""over time as a collective 'mosaic' of surveillance,"" and allows that cumulative mosaic to qualify as a protected Fourth Amendment search, even if the individual steps that contribute to the full picture do not reach that constitutional threshold in isolation. 
Critics of the Fourth Amendment use of mosaic theory argue that it is difficult to administer and inconsistent with other Fourth Amendment jurisprudence. Proponents, on the other hand, argue that mosaic theory is a much-needed development in light of new technologies that allow law enforcement officers to collect large volumes of personal data with little effort. Human rights workers and legal scholars have been critical of how mosaic theory in national security cases undermines civil rights. They argue that when government agencies claim that any scrap of information is part of a larger intelligence mosaic, those agencies get free rein to determine what of their work will be kept secret. This method is used by American intelligence analysts."	"Meet Sarah, a young journalist who had been investigating a high-profile scandal involving city officials. The city mayor, a powerful figure in the community, had become suspicious of Sarah's snooping and ordered his team of detectives to find out what she knew.

The detectives started by monitoring Sarah's social media accounts, taking screenshots of her tweets and posts. They also installed keylogger software on her home computer, allowing them to track every website she visited and every email she sent.

At first, it seemed like these individual actions didn't amount to much. Sarah had taken innocent-looking likes on social media, and her emails were mostly mundane communications with sources and colleagues.

However, as the detectives continued to collect data over several weeks, a different picture emerged. They noticed a pattern of Sarah's online activity that suggested she was getting close to uncovering a major scandal. They also found a string of email exchanges hinting at a high-level conspiracy.

Under the mosaic theory, the detectives' individual actions were combined to create a larger picture of surveillance. The courts used this collective data to determine that the detectives had, in fact, conducted an unlawful search and seizure of Sarah's digital life.

In this scenario, the mosaic theory allowed the courts to consider the cumulative effect of the detectives' actions, rather than each individual step in isolation. It recognized that the detectives' goal was to gather information about Sarah, and that the individual actions were not isolated incidents, but part of a larger pattern of surveillance."
Mount Laurel doctrine	"The Mount Laurel doctrine is a significant judicial doctrine of the New Jersey State Constitution. The doctrine requires that municipalities use their zoning powers in an affirmative manner to provide a realistic opportunity for the production of housing affordable to low- and moderate-income households.
The doctrine takes its name from the lead case in which it was first pronounced by the New Jersey Supreme Court in 1975: Southern Burlington County N.A.A.C.P. v. Mount Laurel Township (commonly called Mount Laurel I), in which the plaintiffs challenged the zoning ordinance of Mount Laurel Township, New Jersey, on the grounds that it operated to exclude low and moderate income persons from obtaining housing in the municipality.

"	"Once upon a time in the charming town of Willowdale, a diverse community with a mix of affluent and working-class families. The town's Mayor, Jane, was happy to see the steady growth of the town, but noticed that affordable housing was getting scarce. Long-time residents, like Maria, a single mother working two jobs to support her kids, were facing a daunting struggle to find a place to call home.

A local non-profit organization, Community Developments Inc. (CDI), decided to take action. They approached the Mayor with a plan to build a new affordable housing development, featuring 50 units with rent caps ensuring that low- and moderate-income families could afford to live there. CDI proposed allocating a 5-acre parcel of land within the town's limits, which was previously used as a neglected parking lot.

However, the town's Planning Board, led by Councilman Tom, raised concerns about the project's impact on the town's character and property values. They opposed the development, citing zoning ordinances that prioritized single-family homes and commercial spaces. CDI appealed the decision to the New Jersey Superior Court, citing the Mount Laurel doctrine.

With the court's intervention, the town was forced to re-examine its zoning policies. The court ruled that Willowdale must take affirmative action to address the lack of affordable housing, ensuring that low- and moderate-income residents, like Maria, had a realistic opportunity to find a home in the town. The town eventually approved the CDI project, and the community celebrated the arrival of the new affordable housing development."
Natural justice	"In English law, natural justice is technical terminology for the rule against bias (nemo iudex in causa sua) and the right to a fair hearing (audi alteram partem). While the term natural justice is often retained as a general concept, it has largely been replaced and extended by the general ""duty to act fairly"".
The basis for the rule against bias is the need to maintain public confidence in the legal system. Bias can take the form of actual bias, imputed bias, or apparent bias. Actual bias is very difficult to prove in practice whereas imputed bias, once shown, will result in a decision being void without the need for any investigation into the likelihood or suspicion of bias. Cases from different jurisdictions currently apply two tests for apparent bias: the ""reasonable suspicion of bias"" test and the ""real likelihood of bias"" test. One view that has been taken is that the differences between these two tests are largely semantic and that they operate similarly.
The right to a fair hearing requires that individuals should not be penalized by decisions affecting their rights or legitimate expectations unless they have been given prior notice of the case, a fair opportunity to answer it, and the opportunity to present their own case. The mere fact that a decision affects rights or interests is sufficient to subject the decision to the procedures required by natural justice. In Europe, the right to a fair hearing is guaranteed by Article 6(1) of the European Convention on Human Rights, which is said to complement the common law rather than replace it."	"Sarah, a young professional, had been working at XYZ Corporation for three years when her boss, Michael, announced that her job was no longer needed due to company restructuring. Sarah was devastated and felt that she was being unfairly let go.

As she began exploring her options for an unfair dismissal claim, she discovered that Michael was not only her boss, but also her ex-boyfriend's brother. In fact, Michael had been the one to give her the referral that led to her job at XYZ Corporation in the first place.

Sarah was shocked and felt that Michael's personal relationship with her ex-boyfriend created a clear conflict of interest. She felt that Michael would not be impartial in making the decision to dismiss her. In fact, she suspected that he might have been influenced by his own biases.

Sarah feared that a fair hearing, according to the principles of natural justice, had not been provided to her. She felt that her right to a fair hearing, as guaranteed by the law, had been compromised. If her claim went ahead, she would argue that Michael's personal connection to her ex-boyfriend created an apparent bias, which would render the decision to dismiss her unfair and potentially void.

Through this scenario, we see the application of the principle of natural justice, which emphasizes the need for impartiality and fairness in decision-making processes. In this case, Michael's personal connection to Sarah's ex-boyfriend raised concerns about his ability to make an impartial decision, affecting Sarah's rights and legitimate expectations."
Natural rights and legal rights	"Some philosophers distinguish two types of rights, natural rights and legal rights.

Natural rights are those that are not dependent on the laws or customs of any particular culture or government, and so are universal, fundamental and inalienable (they cannot be repealed by human laws, though one can forfeit their enjoyment through one's actions, such as by violating someone else's rights). Natural law is the law of natural rights.
Legal rights are those bestowed onto a person by a given legal system (they can be modified, repealed, and restrained by human laws). The concept of positive law is related to the concept of legal rights.
Natural law first appeared in ancient Greek philosophy, and was referred to by Roman philosopher Cicero. It was subsequently alluded to in the Bible, and then developed in the Middle Ages by Catholic philosophers such as Albert the Great, his pupil Thomas Aquinas, and Jean Gerson in his 1402 work ""De Vita Spirituali Animae."" During the Age of Enlightenment, the concept of natural laws was used to challenge the divine right of kings, and became an alternative justification for the establishment of a social contract, positive law, and government – and thus legal rights – in the form of classical republicanism. Conversely, the concept of natural rights is used by others to challenge the legitimacy of all such establishments.
The idea of human rights derives from theories of natural rights. Those rejecting a distinction between human rights and natural rights view human rights as the successor that is not dependent on natural law, natural theology, or Christian theological doctrine. Natural rights, in particular, are considered beyond the authority of any government or international body to dismiss. The 1948 United Nations Universal Declaration of Human Rights is an important legal instrument enshrining one conception of natural rights into international soft law. Natural rights were traditionally viewed as exclusively negative rights, whereas human rights also comprise positive rights. Even on a natural rights conception of human rights, the two terms may not be synonymous.
The concept of natural rights is not universally accepted, partly due to its religious associations and perceived incoherence. Some philosophers argue that natural rights do not exist and that legal rights are the only rights; for instance, Jeremy Bentham called natural rights ""simple nonsense"". Iusnaturalism, particularly, holds that legal norms follow a human universal knowledge. Thus, it views enacted laws that contradict such universal knowledge as unjust and illegitimate, but some jusnaturalists might attribute the source of natural law to a natural order instead of a divine mandate."	"The small town of Willow Creek was known for its strong sense of community and respect for individual freedom. Emily, a young entrepreneur, had always dreamed of opening her own bakery. She finally saved up enough money and decided to take the plunge, renting a small shop on Main Street.

As she began to set up her bakery, Emily discovered that the town's zoning laws prohibited food businesses in the area. The mayor, Mrs. Johnson, explained that the laws were in place to maintain the town's aesthetic appeal and protect the local residents from what she deemed ""unsavory"" businesses.

Emily felt her natural right to pursue her passion and provide for herself being challenged. She argued that her bakery would bring joy and employment to the community, not harm. Mrs. Johnson countered that the town's laws took precedence over individual rights.

As the dispute escalated, Emily and Mrs. Johnson sought the help of local lawyers. Emily's lawyer, citing the concept of natural rights, argued that Emily's right to pursue her dreams and livelihood was inherent and universal, not dependent on the town's laws. The lawyer for Mrs. Johnson countered that the town's laws were reasonable and necessary to maintain public order.

The case ultimately ended up in court, where the judge deliberated on the balance between natural rights and legal rights. In the end, the judge ruled in Emily's favor, citing the town's duty to respect individuals' fundamental rights to pursue happiness and livelihood. The ruling allowed Emily to open her bakery, which became a beloved landmark in Willow Creek. The dispute highlighted the intersection of natural rights and legal rights, illustrating that while laws can shape our lives, they must also recognize and protect our fundamental human rights."
