doctrine,definition
Doctrine of cash equivalence,"The Doctrine of Cash Equivalence states that the U.S. Federal income tax law treats certain non-cash payment transactions like cash payment transactions for federal income tax purposes. The doctrine is used most often for deciding when cash method (as opposed to accrual method) taxpayers are to include certain non-cash income items.  Another doctrine often used when trying to determine the timing of the inclusion of income is the constructive receipt doctrine.
Most individuals begin as cash method taxpayers because their first form of bookkeeping is a checkbook. In contrast, some businesses start as accrual method taxpayers because businesses use different rules for recording income and expenditures. The Internal Revenue Code (IRC) § 446(a) states, however, that  ""[t]axable income shall be computed under the method of accounting on the basis which the taxpayer regularly computes his income in keeping his books.""
One of the major advantages to the cash method of accounting is the ability to defer taxation because the recognition of income applicable to amounts in accounts receivable can be deferred to a later year. The Doctrine of Cash Equivalence is important because many people are cash method taxpayers and would be subject to this rule.

"
Doctrine of chances,"In law, the doctrine of chances is a rule of evidence that allows evidence to show that it is unlikely a defendant would be repeatedly, innocently involved in similar, suspicious circumstances.
Normally, under Federal Rule of Evidence 404, evidence of other crimes, wrongs, or acts is not admissible to prove the character of a person in order to show action in conformity therewith.
Using the doctrine of chances allows a prosecutor to admit evidence of prior ""accidents"" that can persuade a jury that prior incidents are so similar that it is very improbable that the case at bar is actually accidental.
The doctrine of chances was first developed by English courts in the case Rex v. Smith, 11 Cr. App. R. 229, 84 L.J.K.B. 2153 (1915), better known as the ""brides in the bath murder"". In this case the defendant was accused of murdering his wife by drowning her in a bath. The defendant claimed that his wife had fainted in the bath. The prosecutor sought to include evidence in the trial that the defendant's two previous wives had both died in the same way. The evidence was allowed."
Doctrine of colourability,"The doctrine of colourability is the idea that when a legislature wants to do something that it cannot do within the constraints of its government's constitution, it colours the law with a substitute purpose, allowing it to accomplish its original goal.

"
Doctrine of equivalents,"The doctrine of equivalents is a legal rule in many (but not all) of the world's patent systems that allows a court to hold a party liable for patent infringement if the infringing device or process does not fall within the literal scope of a patent claim but is nevertheless equivalent to the claimed invention. In the United States, Judge Learned Hand has described its purpose as being ""to temper unsparing logic and prevent an infringer from stealing the benefit of the invention."""
Doctrine of exoneration of liens,"The doctrine of exoneration of liens (sometimes simply referred to as ""doctrine of exoneration"") refers to a common law rule. The rule says that encumbrances (i.e. a mortgage) of a property conveyed by a will is discharged with funds from the originating estate, not from the property itself."
Doctrine of foreign equivalents,"This article discusses the trademark doctrine regarding translation of foreign words. For the patent doctrine regarding equivalent means to practice an invention, see Doctrine of equivalents.

The doctrine of foreign equivalents is a rule applied in United States trademark law which requires courts and the TTAB to translate foreign words in determining whether they are registrable as trademarks, or confusingly similar with existing marks. The doctrine is intended to protect consumers within the United States from confusion or deception caused by the use of terms in different languages. In some cases, a party will use a word as a mark which is either generic or merely descriptive of the goods in a foreign language, or which shares the same meaning as an existing mark to speakers of that foreign language.

"
Doctrine of indivisibility,"The doctrine of indivisibility (or indivisibility doctrine) was a legal doctrine in United States copyright law, which held that a copyright was a single, indivisible right that its owner could only assign as a whole.  The doctrine was founded upon the policy concern that a defendant alleged to have infringed a single work might find himself facing claims from multiple plaintiffs, all claiming copyright in that same work.  Despite the indivisibility doctrine, a copyright holder could still effectively assign certain rights.  The assignees of those rights were held to be ""mere licensees.""
This doctrine could yield a harsh result for an exclusive licensee in a work.  If a third party infringed the work, the copyright holder had no motivation to file suit---the work was no longer marketable.  So courts allowed exclusive licensees to compulsively join the copyright holder as a plaintiff in such suits.  Non-exclusive licensees could not forcefully join copyright holders, on the theory that in those cases, the work was still marketable and the copyright holder therefore had an interest in protecting his rights.
The doctrine could also yield a harsh result where a magazine purchased the right of first publication from an author, but provided a copyright notice only for the magazine as a whole, not for the author. This would result in a forfeiture of any copyright protection and an injection of the work into the public domain. As detailed below, this harsh result was mostly abrogated by Goodis v. United Artists Television, Inc.
In the case Goodis v. United Artists Television, Inc., 425 F.2d 397, the United States Court of Appeals for the Second Circuit held that the doctrine of indivisibility could not operate to wholly deprive an author of his copyright when a ""mere licensee"" secured a copyright in a collective work but the author never secured a separate copyright on his own.
The doctrine of indivisibility was expressly eliminated in the Copyright Act of 1976. Assignees of rights in a copyrighted work now have standing to directly file suit against infringers. Because adequacy of a copyright notice is examined under the statue as it existed on the date that the work was first published, the doctrine of indivisibility remains potentially relevant for works published before January 1, 1978."
Doctrine of inherency,"In United States patent law, the doctrine of inherency holds that, under certain circumstances, prior art may be relied upon not only for what it expressly teaches, but also for what is inherent therein, i.e., what necessarily flows from the express teachings. For a patent claim to be valid, its subject-matter must be novel and non-obvious. The claim is anticipated (i.e. will fail because its subject-matter is not novel) if a single prior art reference, either expressly or inherently, discloses every feature of the claimed invention. The concept of inherency is predicated on the idea that a claim should not pass the test of anticipation merely because a feature of it is undisclosed or unrecognized in the prior art reference. A prior art source may thus still anticipate if an apparently missing element of the claim is inherent in that prior art source.
Procedurally, to rely on the doctrine of inherency, one must provide a basis in fact and/or technical reasoning supporting a determination that an allegedly inherent characteristic necessarily would be present if the teachings of the prior art were followed, even if the inherent feature would not have been recognized.
The fact that a certain result or characteristic may occur or be present in the prior art is not alone sufficient to establish the inherency of that result or characteristic. To establish inherency, the evidence must make clear that the missing matter is necessarily present in the prior art reference.  Inherency may not be established by probabilities or possibilities.
Once the United States Patent and Trademark Office (USPTO) establishes that a product referenced in prior art appears to be substantially identical, the burden shifts to the applicant to show a non-obvious difference.
The doctrine of inherency is typically invoked when an inventor tries to obtain a product patent for a product that had been unintentionally invented earlier (""accidental anticipation"").
The United States Supreme Court held in Tilghman v. Proctor that where the first, accidental producer was not aware of the product and did not attempt to produce it, the first production did not bar a patent on the subsequent ""invention"" of the product. 102 U.S. 707 (1880).
The use of the doctrine of inherency in a determination of obviousness is more complicated because ""[t]hat which may be inherent is not necessarily known and that which is unknown cannot be obvious.""
A patent applicant may use the doctrine of inherency to respond to a rejection for lack of an adequate written description by showing that the patent application inherently includes the disclosure that is allegedly lacking."
Doctrine of international exhaustion,"The exhaustion of intellectual property rights constitutes one of the limits of intellectual property (IP) rights. Once a given product has been sold under the authorization of the IP owner, the reselling, rental, lending and other third party commercial uses of IP-protected goods in domestic and international markets are governed by the principle.
After a product covered by an IP right, such as by a patent right, has been sold by the IP right owner or by others with the consent of the owner, the IP right is said to be exhausted. It can no longer be exercised by the owner. This limitation is also referred to as the exhaustion doctrine or first sale doctrine. For example, if an inventor obtains a patent on a new kind of umbrella, the inventor (or anyone else to whom he sells his patent) can legally prohibit other companies from making and selling this kind of umbrella, but cannot prohibit customers who have bought this umbrella from the patent owner from reselling the umbrella to third parties. Or if a piece of software containing a patented algorithm is distributed by the patent owner, then the patent is exhausted.
While there is a ""fairly broad consensus"" throughout the world that patent exhaustion ""applies at least within the context of the domestic market"", ""[t]here is less consensus as to what extent the sale of an IP protected product abroad can exhaust the IP rights over this product in the context of domestic law."" The former is the concept of ""national exhaustion"", the latter of ""regional exhaustion"" or ""international exhaustion"". The rules and legal implications of the exhaustion largely differ depending on the country of importation, i.e. the national jurisdiction.
The legal concept of international exhaustion is much more controversial, and is recognized in some countries but not in others. The importation, in a country that recognizes the concept of international exhaustion, of a product sold in a foreign country with the authorization of the IP right owner cannot be prevented by the IP right owner. The Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS), an international agreement administered by the World Trade Organization (WTO), does not address the issue of exhaustion of intellectual property rights.
Brexit in 2020 caused restrictions on trade out of the UK, creating an asymmetric exhaustion status enabling imports to the UK from the EEA where there is no matching opportunity for parallel exports from the UK to the EEA. This was thought in February 2022 to be likely to continue for some time, or even indefinitely."
Doctrine of laches,"In common-law legal systems, laches ( LAT-chiz, ;  Law French: remissness, dilatoriness, from Old French: laschesse) is a lack of diligence and activity in making a legal claim, or moving forward with legal enforcement of a right, particularly in regard to  equity. It is an unreasonable delay that can be viewed as prejudicing the opposing party. When asserted in litigation, it is an equity defense, that is, a defense to a claim for an equitable remedy.  It is often understood in comparison to a statute of limitations, a statutory defense, which traditionally is a defense to a claim ""at law"".
The person invoking laches is asserting that an opposing party has ""slept on its rights"", and that, as a result of this delay, circumstances have changed (witnesses or evidence may have been lost or no longer available, etc.), such that it is no longer a just resolution to grant the plaintiff's claim. Laches is associated with the maxim of equity: ""Equity aids the vigilant"" – not those who sleep on their rights. Put another way, failure to assert one's rights in a timely manner can result in a claim being barred by laches."
Doctrine of necessity,"The doctrine of necessity is the basis on which extraordinary actions by administrative authority, which are designed to restore order or uphold fundamental constitutional principles, are considered to be lawful even if such an action contravenes established constitution, laws, norms, or conventions. The maxim on which the doctrine is based originated in the writings of the medieval jurist Henry de Bracton, and similar justifications for this kind of extra-legal action have been advanced by more recent legal authorities, including William Blackstone.
In a controversial 1954 judgment, Pakistani Chief Justice Muhammad Munir validated the extra-constitutional use of emergency powers by Governor General, Ghulam Mohammad. In his judgment, the Chief Justice cited Bracton's maxim, 'that which is otherwise not lawful is made lawful by necessity', thereby providing the label that would come to be attached to the judgment and the doctrine that it was establishing.
The doctrine of necessity may also refer to the necessity of a judge with a reasonable apprehension of bias continuing to decide a matter if there is no alternative to that judge. The Supreme Court of Canada applied this doctrine in the 1998 Reference re Remuneration of Judges (No 2) case.

"
Doctrine of non-derogation from grants,"The doctrine of non-derogation from grants is a principle of the law of England and Wales. As the House of Lords explained in British Leyland Motor Corp v Armstrong Patents Co, it states that a seller of realty or goods is not permitted to take any action (such as bringing an infringement action) that will lessen the value to the buyer of the thing sold.
United States federal law recognises similar doctrines such as the exhaustion doctrine or doctrine of implied license. A similar effect has also been realised in United States patent law under the doctrine of repair and reconstruction.
An important difference between the doctrine of non-derogation from grants and other doctrines, particularly implied license, that are used to accomplish similar results is that the doctrine of non-derogation from grants is ""inherent"" as a matter of property law and apparently cannot be avoided by a seller's use of language attempting to negative application of the doctrine or by trial counsel's pointing to evidence of intent not to relinquish patent rights or copyright. In contrast, the other doctrines may be vulnerable to contractual disclaimers or evidence of intent not to grant intellectual property rights. The issue is discussed to some extent in the courts' opinions in British Leyland and Quanta Computer, Inc. v. LG Electronics, Inc."
Doctrine of privity,"The doctrine of privity of contract is a common law principle which provides that a contract cannot confer rights or impose obligations upon anyone who is not a party to that contract. It is related to, but distinct from, the doctrine of consideration, according to which a promise is legally enforceable only if valid consideration has been provided for it, and a plaintiff is legally entitled to enforce such a promise only if they are a promisee from whom the consideration has moved.
A principal consequence of the doctrine of privity is that, at common law, a third party generally has no right to enforce a contract to which they are not a party, even where that contract was entered into by the contracting parties specifically for their benefit and with a common intention among all of them that they should be able to enforce it.  In England & Wales and Northern Ireland, the doctrine has been substantially weakened by the Contracts (Rights of Third Parties) Act 1999, which created a statutory exception to privity, providing, in certain circumstances, third parties the right to enforce terms of contracts to which they are not privy."
Doctrine of repair and reconstruction,"The doctrine of repair and reconstruction in United States patent law distinguishes between permissible repair of a patented article, which the right of an owner of property to preserve its utility and operability guarantees, and impermissible reconstruction of a patented article, which is patent infringement. The doctrine is explained in Aro Mfg. Co. v. Convertible Top Replacement Co. The Aro case states the rule in these terms:

The decisions of this Court require the conclusion that reconstruction of a patented entity, comprised of unpatented elements, is limited to such a true reconstruction of the entity as to ""in fact make a new article,"" after the entity, viewed as a whole, has become spent. In order to call the monopoly, conferred by the patent grant, into play for a second time, it must, indeed, be a second creation of the patented entity. …Mere replacement of individual unpatented parts, one at a time, whether of the same part repeatedly or different parts successively, is no more than the lawful right of the owner to repair his property.

An extension  of the doctrine is a right to modify the product to enhance its functionality, such as to make it operate faster or with a different size of product. The Supreme Court said in Wilbur-Ellis Co. v. Kuther that such a right was ""kin  to repair for it bore on the useful capacity of the old combination, on which the royalty had been paid.""
The House of Lords declared a similar principle—the doctrine of non-derogation from grants—concerning car owners' repair and replacement of automobile parts, in British Leyland Motor Corp. v. Armstrong Patents Co."
Doctrine of res judicata,"Res judicata or res iudicata, also known as claim preclusion, is the Latin term for judged matter, and refers to either of two concepts in common law civil procedure: a case in which there has been a final judgment and that is no longer subject to appeal; and the legal doctrine meant to bar (or preclude) relitigation of a claim between the same parties.
In the case of res judicata, the matter cannot be raised again, either in the same court or in a different court. A court will use res judicata to deny reconsideration of a matter. The doctrine of res judicata is a method of preventing injustice to the parties of a case supposedly finished but perhaps also or mostly a way of avoiding unnecessary waste of judicial resources. Res judicata does not merely prevent future judgments from contradicting earlier ones, but also prevents litigants from multiplying judgments.
It is similar to the concept of double jeopardy and non bis in idem in criminal law, but the protection in criminal prosecutions only bars an identical prosecution for the same offense. However, a different offense may be charged on identical evidence at a second trial; whereas, res judicata precludes any causes of action or claims that may arise from the previously litigated subject matter."
Doctrine of tenure,"In common law systems, land tenure, from the French verb ""tenir"" means ""to hold"", is the legal regime in which land ""owned"" by an individual is possessed by someone else who is said to ""hold"" the land, based on an agreement between both individuals. It determines who can use land, for how long and under what conditions. Tenure may be based both on official laws and policies, and on informal local customs (insofar higher law does allow that).  In other words, land tenure implies a system according to which land is held by an individual or the actual tiller of the land but this person does not have legal ownership.
It determines the holder's rights and responsibilities in connection with their holding. The sovereign monarch, known in England as the Crown, held land in its own right. All land holders are either its tenants or sub-tenants. Tenure signifies a legal relationship between tenant and lord, arranging the duties and rights of tenant and lord in relationship to the land. Over history, many different forms of land tenure, i.e., ways of holding land, have been established.
A landowner is the holder of the estate in land with the most extensive and exclusive rights of ownership over the territory, simply put, the owner of land.

"
Double aspect doctrine,"The Double aspect doctrine in Canadian constitutional law is one that allows for laws to be created by both provincial and federal governments in relation to the same subject matter. Typically, the federalist system assigns subject matters of legislation to a single head of power. However, certain matters have several dimensions to them, such that for one purpose the matter will fall to one head of power, while for another purpose, it will fall to the other. For example, highway traffic laws fall into the property and civil rights power of the province, but equally, can be a criminal offence which is in the criminal law power of the federal government.
The origin of the doctrine comes from the 1883 Privy Council decision of Hodge v. The Queen, where it was stated that ""subjects which in one aspect and for one purpose fall within s. 92, may in another aspect and for another purpose fall within s. 91""."
Due process,"Due process of law is application by the state of all legal rules and principles pertaining to a case so all legal rights that are owed to a person are respected. Due process balances the power of law of the land and protects the individual person from it. When a government harms a person without following the exact course of the law, this constitutes a due process violation, which offends the rule of law.
Due process has also been frequently interpreted as limiting laws and legal proceedings (see substantive due process) so that judges, instead of legislators, may define and guarantee fundamental fairness, justice, and liberty. That interpretation has proven controversial. Analogous to the concepts of natural justice and procedural justice used in various other jurisdictions, the interpretation of due process is sometimes expressed as a command that the government must not be unfair to the people or abuse them physically or mentally.  The term is not used in contemporary English law, but two similar concepts are natural justice, which generally applies only to decisions of administrative agencies and some types of private bodies like trade unions, and the British constitutional concept of the rule of law as articulated by A. V. Dicey and others.: 69  However, neither concept lines up perfectly with the American theory of due process, which, as explained below, presently contains many implied rights not found in either ancient or modern concepts of due process in England.
Due process developed from clause 39 of Magna Carta in England. Reference to due process first appeared in a statutory rendition of clause 39 in 1354 thus: ""No man of what state or condition he be, shall be put out of his lands or tenements nor taken, nor disinherited, nor put to death, without he be brought to answer by due process of law."" When English and American law gradually diverged, due process was not upheld in England but became incorporated in the US Constitution."
Duty of care,"In tort law, a duty of care is a legal obligation that is imposed on an individual, requiring adherence to a standard of reasonable care to avoid careless acts that could foreseeably harm others, and lead to claim in negligence. It is the first element that must be established to proceed with an action in negligence. The claimant must be able to show a duty of care imposed by law that the defendant has breached. In turn, breaching a duty may subject an individual to liability. The duty of care may be imposed by operation of law between individuals who have no current direct relationship (familial or contractual or otherwise) but eventually become related in some manner, as defined by common law (meaning case law).
Duty of care may be considered a formalisation of the social contract, the established and implicit responsibilities held by individuals/entities towards others within society. It is not a requirement that a duty of care be defined by law, though it will often develop through the jurisprudence of common law."
Duty to rescue,"A duty to rescue is a concept in tort law and criminal law that arises in a number of cases, describing a circumstance in which a party can be held liable for failing to come to the rescue of another party who could face potential injury or death without being rescued. The exact extent of the duty varies greatly between different jurisdictions.  In common law systems, it is rarely formalized in statutes which would bring the penalty of law down upon those who fail to rescue.  This does not necessarily obviate a moral duty to rescue: though law is binding and carries government-authorized sanctions and awarded civil penalties, there are also separate ethical arguments for a duty to rescue even where law does not punish failure to rescue."
Duty to retreat,"In law, the duty to retreat, or requirement of safe retreat,: 550  is a legal requirement in some jurisdictions that a threatened person cannot harm another in self-defense (especially lethal force) when it is possible instead to retreat to a place of safety.: 549–554  This requirement contrasts with some other jurisdictions to stand one's ground, meaning being allowed to defend one's self instead of retreating.
It is a specific component which sometimes appears in the criminal defense of self-defense, and which must be addressed if criminal defendants are to prove that their conduct was justified. Depending on the state the criminal defendants have to prove a minimal time period of safe retreat.

"
Economic substance,"Economic substance is a doctrine in the tax law of the United States under which a transaction must have both a substantial purpose aside from reduction of tax liability and an economic effect aside from the tax effect in order to qualify for any tax benefits. This doctrine is used by the Internal Revenue Service to determine whether tax shelters, or strategies used to reduce tax liability, are considered ""abusive"". Under the doctrine, for a transaction to be respected, the transaction must change the taxpayer's economic position in a ""meaningful way"" apart from the Federal income tax effects, and the taxpayer must have had a ""substantial purpose"" for entering into the transaction, apart from the Federal income tax effects.
The economic substance doctrine was originally a common law doctrine. The doctrine was codified in subsection (o) of section 7701 of the Internal Revenue Code by the Health Care and Education Reconciliation Act of 2010."
Eggshell skull,"The eggshell skull rule (also thin skull rule, papier-mâché-plaintiff rule, or talem qualem rule) is a well-established legal doctrine in common law, used in some tort law systems, with a similar doctrine applicable to criminal law.  The rule states that, in a tort case, the unexpected frailty of the injured person is not a valid defense to the seriousness of any injury caused to them."
Emergency,"An emergency is an urgent, unexpected, and usually dangerous situation that poses an immediate risk to health, life, property, or environment and requires immediate action.  Most emergencies require urgent intervention to prevent a worsening of the situation, although in some situations, mitigation may not be possible and agencies may only be able to offer palliative care for the aftermath.
While some emergencies are self-evident (such as a natural disaster that threatens many lives), many smaller incidents require that an observer (or affected party) decide whether it qualifies as an emergency.
The precise definition of an emergency, the agencies involved and the procedures used, vary by jurisdiction, and this is usually set by the government, whose agencies (emergency services) are responsible for emergency planning and management."
Eminent domain,"Eminent domain, also known as land acquisition, compulsory purchase, resumption, resumption/compulsory acquisition, or expropriation, is the compulsory acquisition of private property for public use. It does not include the power to take and transfer ownership of private property from one property owner to another private property owner without a valid public purpose. This power can be legislatively delegated by the state to municipalities, government subdivisions, or even to private persons or corporations, when they are authorized to exercise the functions of public character.
The most common uses of property taken by eminent domain have been for roads, government buildings and public utilities. Many railroads were given the right of eminent domain to obtain land or easements in order to build and connect rail networks. In the mid-20th century, a new application of eminent domain was pioneered, in which the government could take the property and transfer it to a private third party for redevelopment. This was initially done only to a property that had been deemed ""blighted"" or a ""development impediment"", on the principle that such properties had a negative impact upon surrounding property owners, but was later expanded to allow the taking of any private property when the new third-party owner could develop the property in such a way as to bring in increased tax revenues to the government.
Some jurisdictions require that the taker make an offer to purchase the subject property, before resorting to the use of eminent domain. However, once the property is taken and the judgment is final, the condemnor owns it in fee simple, and may put it to uses other than those specified in the eminent domain action.
Takings may be of the subject property in its entirety (total take) or in part (part take), either quantitatively or qualitatively (either partially in fee simple or, commonly, an easement, or any other interest less than the full fee simple title)."
Enrolled bill rule,"The enrolled bill rule is a principle of judicial interpretation of rules of procedure in legislative bodies and rule of recognition. Under the doctrine, once a bill passes a legislative body and is signed into law, the courts assume that all rules of procedure in the enactment process were properly followed. That is, ""[i]f a legislative document is authenticated in regular form by the appropriate officials, the court treats that document as properly adopted."""
Enterprise liability,"Enterprise liability is a legal doctrine under which individual entities (for example, otherwise legally unrelated corporations or people) can be held jointly liable for some action on the basis of being part of a shared enterprise. Enterprise liability is a form of secondary liability."
Equal authenticity rule,"The equal authenticity rule (French: règle d’égale autorité) is a rule of judicial interpretation developed by Canadian courts as a way of interpreting laws written in parallel French and English texts. The constitution of Canada requires that both versions of each bilingual law be treated as equally authoritative, which can result in problems when the English and French versions are incongruent. The equal authenticity rule is derived from section 133 of the Constitution Act, 1867, which states that ""The Acts of the Parliament of Canada and the Legislature of Quebec shall be printed and published in both those Languages."""
Equity (law),"In the field of jurisprudence, equity is the particular body of law, developed in the English Court of Chancery, with the general purpose of providing legal remedies for cases wherein the common law is inflexible and cannot fairly resolve the disputed legal matter. Conceptually, equity was part of the historical origins of the system of common law of England, yet is a field of law separate from common law, because equity has its own unique rules and principles, and was administered by courts of equity. 
Equity exists in domestic law, both in civil law and in common law systems, as well as in international law. The tradition of equity begins in antiquity with the writings of Aristotle (epieikeia) and with Roman law (aequitas). Later, in civil law systems, equity was integrated in the legal rules, while in common law systems it became an independent body of law."
Erga omnes,"In legal terminology, erga omnes rights or obligations are owed toward all. Erga omnes is a Latin phrase which means ""towards all"" or ""towards everyone"". For instance, a property right is an erga omnes entitlement and therefore enforceable against anybody infringing that right.
An erga omnes right can be distinguished from a right based on contract, which is unenforceable except against the contracting party."
Erie doctrine,"The Erie doctrine is a fundamental legal doctrine of civil procedure in the United States which mandates that a federal court called upon to resolve a dispute not directly implicating a federal question (most commonly when sitting in diversity jurisdiction, but also when applying supplemental jurisdiction to claims factually related to a federal question or in an adversary proceeding in bankruptcy) must apply state substantive law.
The doctrine follows from the Supreme Court landmark decision in Erie Railroad Co. v. Tompkins (1938). The case overturned Swift v. Tyson, which allowed federal judges sitting in a state to ignore the common law local decisions of state courts in the same state in diversity actions."
Essential facilities doctrine,"The essential facilities doctrine (sometimes also referred to as the essential facility doctrine) is a legal doctrine which describes a particular type of claim of monopolization made under competition laws.  In general, it refers to a type of anti-competitive behavior in which a firm with market power uses a ""bottleneck"" in a market to deny competitors entry into the market.  It is closely related to a claim for refusal to deal.
The doctrine has its origins in United States law, but it has been adopted (often with some modification) into the legal systems of the United Kingdom, Australia, South Africa, and the European Union."
Estoppel,"Estoppel is a judicial device whereby a court may prevent or ""estop"" a person from making assertions or from going back on their word. The person barred from doing so is said to be ""estopped"". Estoppel may prevent someone from bringing a particular claim. In common law legal systems, the legal doctrine of estoppel is based in both common law and equity. 
Estoppel is also a concept in international law.

"
Evasion (law),"Evasion in law, is a fundamental public policy doctrine, which exists also in the conflict of laws.

"
Everything which is not forbidden is allowed,"""Everything which is not forbidden is allowed"" is a legal maxim. It is the concept that any action can be taken unless there is a law against it. It is also known in some situations as the ""general power of competence"" whereby the body or person being regulated is acknowledged to have competent judgement of their scope of action.
The opposite principle ""everything which is not allowed is forbidden"" states that an action can only be taken if it is specifically allowed.
A senior English judge, Sir John Laws, stated the principles as: ""For the individual citizen, everything which is not forbidden is allowed; but for public bodies, and notably government, everything which is not allowed is forbidden."" Legal philosopher Ota Weinberger put it this way: ""In a closed system in which all obligations are stated explicitly the following inference rules are valid: (XI) Everything which is not forbidden is allowed""."
Ex turpi causa non oritur actio,"Ex turpi causa non oritur actio (Latin ""action does not arise from a dishonourable cause"") is a legal doctrine which states that a plaintiff will be unable to pursue legal relief and damages if it arises in connection with their own tortious act. The corresponding Ex turpe causa non oritur damnum, ""From a dishonourable cause, no damage arises"" is a similar construction.  Particularly relevant in the law of contract, tort and trusts, ex turpi causa is also known as the illegality defence, since a defendant may plead that even though, for instance, he broke a contract, conducted himself negligently or broke an equitable duty, nevertheless a claimant by reason of his own illegality cannot sue. The UK Supreme Court provided a thorough reconsideration of the doctrine in 2016 in Patel v Mirza."
Exceptional circumstances,"Exceptional circumstances are the conditions required to grant additional powers to a government agency or government leader so as to alleviate, or mitigate, unforeseen or unconventional hardship. The term is commonly used in Australia, where it has been applied in various contexts, most recognizably in relation to special consideration policies for students and drought relief payments for farmers known as Exceptional Circumstances Relief Payments or ECRP."
Exclusionary rule,"In the United States, the exclusionary rule is a legal rule, based on constitutional law, that prevents evidence collected or analyzed in violation of the defendant's constitutional rights from being used in a court of law. This may be considered an example of a prophylactic rule formulated by the judiciary in order to protect a constitutional right. The exclusionary rule may also, in some circumstances at least, be considered to follow directly from the constitutional language, such as the Fifth Amendment's command that no person ""shall be compelled in any criminal case to be a witness against himself"" and that no person ""shall be deprived of life, liberty or property without due process of law"".
The exclusionary rule is grounded in the Fourth Amendment in the Bill of Rights, and it is intended to protect citizens from illegal searches and seizures. The exclusionary rule is also designed to provide a remedy and disincentive for criminal prosecution from prosecutors and police who illegally gather evidence in violation of the Fifth Amendment and its protection against self-incrimination. The exclusionary rule also protects against violations of the Sixth Amendment, which guarantees the right to counsel.
Most states also have their own exclusionary remedies for illegally obtained evidence under their state constitutions or statutes, some of which predate the federal constitutional guarantees against unlawful searches and seizures and compelled self-incrimination.
This rule is occasionally referred to as a legal technicality because it allows defendants a defense that does not address whether the crime was actually committed. In this respect, it is similar to the explicit rule in the Fifth Amendment protecting people from double jeopardy. In strict cases, when an illegal action is used by the police or the prosecution to gain any incriminating result, all evidence whose recovery stemmed from the illegal action—this evidence is known as ""fruit of the poisonous tree""—can be thrown out from a jury (or be grounds for a mistrial if too much information has been irrevocably revealed).
The exclusionary rule applies to all persons within the jurisdiction of the United States regardless of whether they are citizens, immigrants (legal or illegal), or visitors."
Executive privilege,"Executive privilege is the right of the president of the United States and other members of the executive branch to maintain confidential communications under certain circumstances within the executive branch and to resist some subpoenas and other oversight by the legislative and judicial branches of government in pursuit of particular information or personnel relating to those confidential communications. The right comes into effect when revealing the information would impair governmental functions. Neither executive privilege nor the oversight power of Congress is explicitly mentioned in the United States Constitution.  However, the Supreme Court of the United States has ruled that executive privilege and congressional oversight each are a consequence of the doctrine of the separation of powers, derived from the supremacy of each branch in its area of constitutional activity.
The Supreme Court confirmed the legitimacy of this doctrine in United States v. Nixon in the context of a subpoena emanating from the judiciary instead of emanating from Congress. The Court held that there is a qualified privilege, which once invoked, creates a presumption of privilege, and the party seeking the documents must then make a ""sufficient showing"" that the ""presidential material"" is ""essential to the justice of the case"". Chief Justice Warren Burger further stated that executive privilege would most effectively apply when the oversight of the executive would impair that branch's national security concerns.  Regarding requests from Congress (instead of from the courts) for executive branch information, as of a 2014 study by the Congressional Research Service, only two federal court cases had addressed the merits of executive privilege in such a context, and neither of those cases reached the Supreme Court.
In addition to which branch of government is requesting the information, another characteristic of executive privilege is whether it involves a ""presidential communications privilege"" or instead a ""deliberative process privilege"" or some other type of privilege. The deliberative process privilege is often considered to be rooted in common law. In contrast, the presidential communications privilege is often considered rooted in the separation of powers, thus making the deliberative process privilege less difficult to overcome. Generally speaking, presidents, congresses and courts have historically tended to sidestep open confrontations through compromise and mutual deference because of previous practice and precedents regarding the exercise of executive privilege.

"
Exhausted combination doctrine,"The exhausted combination doctrine, also referred to as the doctrine of the Lincoln Engineering case, was the doctrine of U.S. patent law that when an inventor invents a new, unobvious device and seeks to patent not merely the new device but also the combination of the new device with a known, conventional device with which the new device cooperates in the conventional and predictable way in which devices of those types have previously cooperated, the combination is unpatentable as an ""exhausted combination"" or ""old combination"".  The doctrine is also termed the doctrine of the Lincoln Engineering case because the United States Supreme Court explained the doctrine in its decision in Lincoln Engineering Co. v. Stewart-Warner Corp. This doctrine has been considered abrogated by the US Congress in 1952, when it passed the 1952 Patent Act."
